Feature,Importance
num__Lag_1_Week_Sales,0.429794343084752
num__Rolling_4_Week_Mean_Sales,0.24209378800829692
num__Rolling_4_Week_Min_Sales,0.16645776171867122
num__Store_Dept_Expanding_Mean_Sales,0.03137930789096611
num__Rolling_12_Week_Mean_Sales,0.027988781271319214
num__Rolling_4_Week_Max_Sales,0.02110644529043464
num__Lag_52_Week_Sales,0.013826021989360561
num__Rolling_26_Week_Mean_Sales,0.011281838083571853
num__Lag_4_Week_Sales,0.010412171769882893
num__Lag_13_Week_Sales,0.0051036544572665874
num__Lag_24_Week_Sales,0.0039041802142684144
num__WeekOfYear,0.0035527632155994177
num__Dept_Expanding_Mean_Sales,0.00351323969590697
num__Week_Cos_1,0.0020522181204749045
num__Store_Expanding_Mean_Sales,0.002002534539187455
num__Sales_Trend_4_13,0.0018229319013761858
num__Sales_Momentum_Ratio,0.0017324831933198377
num__Rolling_Mean_Gap_4_12,0.0016579266925827508
num__Dept_Expanding_Std_Sales,0.0013875486668203459
num__Trend_Index,0.0012987314939856998
num__Store_Expanding_Std_Sales,0.0011114567152268168
num__Store_Dept_Expanding_Std_Sales,0.0009953558767243562
num__Rolling_4_Week_Std_Sales,0.0009550272954517993
num__Size,0.0009530625036490811
num__Lag_26_Week_Sales,0.0008933967723030473
num__Sales_Trend_1_4,0.0008206248047277774
num__Log_Size,0.0008050812803001596
num__Rolling_12_Week_Std_Sales,0.0007414446579624207
num__Rolling_26_Week_Std_Sales,0.0006932862455766933
num__Week_Sin_2,0.0006107863415908231
num__Holiday_Size_Interaction,0.0005845867431753933
cat__Dept_7,0.0005778818054456763
num__Temperature_WeekSin_Interaction,0.0005306336971796848
num__Week_Cos_2,0.0004891908239237401
num__Temperature_WeekCos_Interaction,0.00047718392522210504
cat__Dept_72,0.0004693768542127641
num__Holiday_Proximity_Weeks,0.00037495185537799483
num__Week_Sin_1,0.0003242129378378512
num__Before_Holiday,0.0003087187153665967
num__Month,0.00027130107045176004
num__Temperature_Fuel_Interaction,0.0002359146666041813
num__Unemployment,0.00023136270474427703
cat__Store_Size_Category_Large,0.00023107912888981023
num__Fuel_Price,0.00022555281252339732
num__CPI_Unemployment_Interaction,0.00022125986931931306
num__Temperature,0.0002166209124110311
num__CPI,0.0001915733216246465
num__Holiday_Total_MarkDown,0.00018381974860949866
cat__Dept_1,0.00017646670213714713
num__Month_Cos,0.00016182741064773478
num__Peak_Season_Flag,0.00014574520015918794
num__MarkDown_Intensity,0.00013054717848133633
num__Holiday_Week,0.00011386010318422624
cat__Dept_18,9.51024632223719e-05
num__Log_Total_MarkDown,9.333619251244768e-05
num__After_Holiday,9.249612994623664e-05
cat__Season_Fall,8.563293902391141e-05
num__Total_MarkDown,8.489811873361304e-05
num__MarkDown_Size_Interaction,7.659605757492738e-05
cat__Dept_95,6.719761772522632e-05
num__Rolling_12_Week_Mean_Sales_Missing_Flag,6.460743688566358e-05
num__Month_Sin,6.389789322128336e-05
num__Quarter,6.265969957226336e-05
cat__Type_A,6.142672733302225e-05
num__Holiday_MarkDown_Interaction,5.755815961249989e-05
num__Lag_1_Missing_Flag,5.509706106058064e-05
num__Rolling_4_Week_Max_Sales_Missing_Flag,5.378433752657756e-05
cat__Dept_92,5.3251249884393135e-05
num__Sales_Momentum_Ratio_Missing_Flag,5.2148247609058666e-05
cat__Dept_38,5.092341461747323e-05
num__Rolling_Mean_Gap_4_12_Missing_Flag,5.0209997201664925e-05
num__Store_Dept_Expanding_Mean_Missing_Flag,4.560377960057935e-05
num__Rolling_4_Week_Mean_Sales_Missing_Flag,4.370667405036412e-05
num__Year,4.302246895559639e-05
num__Rolling_12_Week_Avg_Missing_Flag,4.2032934317495245e-05
num__Rolling_4_Week_Avg_Missing_Flag,4.135847429498996e-05
cat__Season_Winter,3.879586920824197e-05
num__Rolling_4_Week_Min_Sales_Missing_Flag,3.642713183941218e-05
num__Lag_1_Week_Sales_Missing_Flag,3.487542893446625e-05
cat__Store_35,3.3566667133322316e-05
num__Lag_52_Week_Sales_Missing_Flag,3.3025429936444034e-05
cat__Type_B,3.158407020054534e-05
num__Rolling_26_Week_Mean_Sales_Missing_Flag,2.937845670812706e-05
cat__Dept_16,2.8912907210813915e-05
cat__Store_Size_Category_Medium,2.781903254681411e-05
cat__Dept_5,2.579273291425554e-05
cat__Store_Size_Category_Small,2.5642720623061433e-05
num__MarkDown_Count,2.138803843381203e-05
cat__Dept_3,2.0884174898768298e-05
num__January_Post_Holiday_Flag,2.065543471841009e-05
num__Lag_Features_Imputed_Flag,1.6397775356761708e-05
num__AfterHoliday_MarkDown_Interaction,1.4732221160771155e-05
cat__Dept_82,1.3185751827329285e-05
cat__Store_10,1.29540426001044e-05
cat__Store_14,1.2949200480455493e-05
cat__Season_Spring,1.2776308591653327e-05
cat__Dept_90,1.2166347484176395e-05
cat__Dept_6,1.134383948452589e-05
cat__Store_28,1.0379575801395872e-05
num__Dept_Expanding_Mean_Missing_Flag,9.898534596298706e-06
cat__Dept_79,8.854381754339537e-06
cat__Store_15,7.595546056360456e-06
cat__Dept_40,7.2151294953026564e-06
cat__Dept_91,6.515127400109313e-06
cat__Season_Summer,6.174649361911535e-06
cat__Dept_9,5.954005096087907e-06
cat__Store_2,5.810227728891578e-06
cat__Dept_56,5.789386732494469e-06
cat__Dept_11,5.716082258804434e-06
cat__Type_C,5.691855699053499e-06
cat__Dept_2,5.539818249944961e-06
num__Dept_Expanding_Std_Missing_Flag,5.4785926390312365e-06
num__Any_MarkDown,5.436046036880359e-06
cat__Dept_67,5.377950110958823e-06
num__Lag_24_Week_Sales_Missing_Flag,5.09723439277671e-06
cat__Dept_93,4.513636612423173e-06
num__Back_To_School_Flag,4.4519174814690605e-06
num__Lag_26_Week_Sales_Missing_Flag,3.865380690811439e-06
